folder,file,extent
0,0,"-121.925499618, -33.7179120305, 145.320501923, 49.37100737"
1,11,"-14.1729126667, -76.71564, 54.3072276923, 11.492824"
1,10,"-78.702558, -9.20797909091, -24.0705266667, 18.2033515789"
1,13,"-94.7945384211, 8.90769791667, -72.1434889744, 29.9514021212"
1,12,"23.5253903226, 15.21948175, 60.3432628571, 63.6451975"
1,14,"-79.9716465116, 32.2984966667, -53.0812584615, 71.6595938462"
1,1,"99.9219809804, -5.29396534884, 157.4835325, 56.5206225"
1,0,"-123.1208325, -90.0, 0.0, -13.993712"
1,3,"-107.381395333, 18.5750165, -91.6902762687, 38.5175452381"
1,2,"-107.479019189, 39.0864255, -90.3827837736, 73.16673125"
1,5,"-168.725961579, -22.0170383333, -110.537393056, 41.0966676991"
1,4,"-90.5739421519, 31.5592604494, -79.6109808491, 45.9580194"
1,7,"56.2773036957, -4.909852, 90.0842146512, 49.6906830769"
1,6,"-163.447306923, 42.94385875, -110.020822778, 62.1719653846"
1,9,"-21.3922642857, 17.7853578571, 22.4211656757, 67.8346385714"
1,8,"115.877321233, -74.67619, 172.534468182, 4.05880914286"
1,11,"-14.1729126667, -76.71564, 54.3072276923, 11.492824"
1,10,"-78.702558, -9.20797909091, -24.0705266667, 18.2033515789"
1,13,"-94.7945384211, 8.90769791667, -72.1434889744, 29.9514021212"
1,12,"23.5253903226, 15.21948175, 60.3432628571, 63.6451975"
1,14,"-79.9716465116, 32.2984966667, -53.0812584615, 71.6595938462"
1,1,"99.9219809804, -5.29396534884, 157.4835325, 56.5206225"
1,0,"-123.1208325, -90.0, 0.0, -13.993712"
1,3,"-107.381395333, 18.5750165, -91.6902762687, 38.5175452381"
1,2,"-107.479019189, 39.0864255, -90.3827837736, 73.16673125"
1,5,"-168.725961579, -22.0170383333, -110.537393056, 41.0966676991"
1,4,"-90.5739421519, 31.5592604494, -79.6109808491, 45.9580194"
1,7,"56.2773036957, -4.909852, 90.0842146512, 49.6906830769"
1,6,"-163.447306923, 42.94385875, -110.020822778, 62.1719653846"
1,9,"-21.3922642857, 17.7853578571, 22.4211656757, 67.8346385714"
1,8,"115.877321233, -74.67619, 172.534468182, 4.05880914286"
2,9_4,"1.07505, 46.84177, 7.29911375, 52.349857"
2,9_2,"7.979354, 49.4504244444, 14.409534, 56.609486"
2,1_7,"104.933435, -10.5, 124.210166667, 3.2189825"
2,1_6,"105.66667, -10.5, 105.66667, -10.5"
2,1_5,"104.7707, 33.2301175, 119.1813, 56.7373"
2,1_4,"102.11545, 18.98333, 109.3115, 26.39759"
2,1_3,"96.5409666667, -12.0803833333, 103.808881429, 8.15324333333"
2,13_14,"-89.54167, 12.019475, -83.8, 17.41667"
2,1_1,"96.0, 12.350975, 102.695446667, 21.77077"
2,1_0,"138.112543333, 7.39449, 166.611845, 19.304525"
2,0_6,"-69.25, -31.17354, -60.93269, -23.81667"
2,0_7,"-53.43333, -29.5816, -48.5673, -22.70894"
2,0_4,"-47.202035, -23.614915, -41.786465, -16.83343"
2,0_5,"-44.0, -18.0, -44.0, -18.0"
2,0_2,"-59.33781, -30.0, -53.6601, -23.15833"
2,0_3,"-57.33394, -28.40955, -57.33394, -28.40955"
2,1_9,"110.42758, 16.83216, 120.678222, 27.932705"
2,1_8,"98.1794, 24.3467, 106.387325, 33.7472333333"
2,6_14,"-124.898239091, 47.1951642857, -120.628096667, 52.0863575"
2,6_12,"-118.66914, 50.940036, -112.805995, 54.6085"
2,6_13,"-173.54194, 52.09, -156.83333, 68.1167633333"
2,6_10,"-111.998015, 49.28335, -109.00145, 54.46525"
2,6_11,"-154.58361, 57.60468, -142.593335, 65.505"
2,5_3,"-114.597023333, 39.996365, -110.3288775, 43.38243"
2,5_2,"-112.576503333, 36.4289366667, -108.82552, 40.15547"
2,5_1,"-116.713463333, 33.983836, -113.075244, 37.6025566667"
2,5_0,"-120.29718, 39.161455, -115.41422, 42.2385"
2,5_7,"-113.56261, 32.234903, -109.82467, 36.00332"
2,5_6,"-113.5, 24.39903, -110.06758, 31.71287"
2,5_5,"-123.65116, 36.5860861538, -121.145267778, 39.1840833333"
2,5_4,"-177.377173333, 16.72, -155.0899, 28.2125433333"
2,4_2,"-86.3044957143, 37.27256, -82.6786730769, 40.5805744444"
2,4_3,"-90.4833144444, 40.1704258333, -86.2185825, 44.2508425"
2,5_9,"-119.012416923, 33.574015, -116.92276, 35.2391981818"
2,5_8,"-120.756053333, 36.493634, -117.27064, 38.6592425"
2,4_6,"-82.66422, 38.5749714286, -79.48648, 43.0796275"
2,4_7,"-85.948045, 32.66811, -83.484194, 35.6500433333"
2,4_4,"-87.664284, 30.232875, -84.283656, 33.4956877778"
2,4_5,"-83.6347133333, 30.84606, -80.7423622222, 33.583545"
2,9_0,"12.4944870588, 37.2522515385, 20.388036, 43.71242"
2,6_6,"-112.834793333, 43.79934, -109.66575, 48.85667"
2,6_1,"-140.945875, 55.713655, -131.18946, 64.0603"
2,13_11,"-90.3887033333, 16.28083, -87.039715, 20.682795"
2,1_14,"115.0, 10.59004, 122.7834975, 18.0174383333"
2,3_12,"-104.332073333, 31.43673, -99.80887, 35.26377"
2,13_10,"-78.0, 22.43333, -73.06667, 25.25952"
2,13_13,"-77.40594, 25.07642, -77.40594, 25.07642"
2,13_12,"-78.30432, 15.00028, -75.00028, 19.90639"
2,1_2,"114.3308625, 24.34042, 127.78403, 36.06605"
2,0_8,"119.53506, 26.08304, 119.53506, 26.08304"
2,8_10,"142.135208, -39.1858675, 147.7631125, -33.12311"
2,8_11,"166.06667, -50.85, 178.44149, -18.0"
2,6_0,"-119.86713, 46.1512033333, -116.501143333, 50.393535"
2,0_9,"-117.41296125, 47.70094875, -117.41296125, 47.70094875"
2,6_4,"-118.4705, 43.60896, -113.8959, 46.08032"
2,8_6,"135.0, -37.103385, 141.8858, -29.67766"
2,8_7,"127.878065, -31.55932, 139.6611, -20.0"
2,8_4,"144.67, -54.55, 158.95, -40.12"
2,4_8,"-81.101443, 35.73067, -78.3093771429, 38.3517977778"
2,8_2,"-79.8662654545, 36.2595536364, -79.8662654545, 36.2595536364"
2,8_3,"145.025565, -26.13333, 151.0, -16.7077375"
2,8_0,"123.5496, -19.591175, 133.8833, -8.930315"
2,3_14,"-109.047776667, 33.4530433333, -104.29137, 36.55558"
2,4_14,"-92.778225, 33.912035, -89.028035, 37.1563"
2,4_10,"-85.670622, 41.215632, -81.4875366667, 44.237245"
2,4_11,"-92.49252125, 37.444112, -87.8939918182, 40.7594933333"
2,4_12,"-88.145354, 44.41091, -82.61881, 49.3314566667"
2,4_13,"-84.24041375, 34.3571266667, -81.25989, 37.8367566667"
2,9_9,"-15.34511, 28.175346, -2.43399, 34.688775"
2,9_8,"5.63613, 43.6936594737, 12.1201531579, 49.0900475"
2,7_11,"63.0, 30.19562, 69.185835, 39.0"
2,3_11,"-99.805655, 16.0351375, -96.0639833333, 20.462985"
2,7_13,"74.08333, 10.41667, 80.0771966667, 15.33333"
2,7_12,"69.68207, 28.38253, 72.63084, 33.0679066667"
2,9_3,"-8.8427275, 35.305195, -0.46213, 43.0979"
2,7_14,"70.52286, 33.958945, 78.405, 40.26654"
2,9_1,"-2.43512857143, 39.16773, 4.161044, 47.136846"
2,3_10,"-100.47389, 23.1101275, -97.448525, 27.4660366667"
2,0_0,"-98.00737, 26.186528, -98.00737, 26.186528"
