latitude,longitude,label
-34.702152699999999,-58.497179200000005,3
-34.616514962500005,-58.505694375000004,8
-34.652484749999999,-58.503928449999989,6
-34.6411242,-58.542499124999999,4
-34.637623183333325,-58.467614633333334,6
-34.628020616666667,-58.488288799999999,6
-34.618610662500004,-58.529132362500008,8
-34.698172679999999,-58.527221119999993,5
-34.610079537499999,-58.482748125000001,8
-34.693856062500004,-58.473138949999999,8
-34.622554699999995,-58.449697700000002,3
-34.598415299999999,-58.523582525000002,4
-34.663774450000005,-58.530518600000001,2
-34.600993033333332,-58.504721499999995,3
-34.670776666666661,-58.453394366666664,3
