folder,file,extent
0,0,"-116.122314364, -49.0824789455, 10.465856825, 36.6537399313"
1,11,"-60.4247499444, -35.30796975, -57.9275026, -32.1974896077"
1,10,"-58.6852663812, -34.6619770813, -58.6852663812, -34.6619770813"
1,13,"-68.199716, -28.639882, -60.8801558333, -17.3738528"
1,12,"-80.782127, 4.65369105, -59.613352, 25.84883725"
1,14,"-6.9509194, 8.3756308, 120.894339, 51.5190124"
1,1,"-71.66277094, -43.6846192, -64.01029055, -37.6797345333"
1,0,"-65.0957792, -40.81074875, -59.9924362, -34.8684492"
1,3,"-79.9644709, -16.3988222, -71.5368861, 0.56324"
1,2,"-65.32135005, -33.8835872, -59.9822836, -28.8864956"
1,5,"-59.3879021, -38.5544968, -54.95, -34.8648654333"
1,4,"-72.4974899667, -54.1214488667, -65.8880386, -45.1260871"
1,7,"-122.05930555, 24.132673, -109.9107093, 37.37428435"
1,6,"-106.03085915, 13.70711925, -89.19737325, 25.85627224"
1,9,"-60.4250441, -29.75262585, -46.6388182, -23.5489433"
1,8,"-71.5863505, -35.32773155, -66.4460518667, -29.2893802"
1,11,"-60.4247499444, -35.30796975, -57.9275026, -32.1974896077"
1,10,"-58.6852663812, -34.6619770813, -58.6852663812, -34.6619770813"
1,13,"-68.199716, -28.639882, -60.8801558333, -17.3738528"
1,12,"-80.782127, 4.65369105, -59.613352, 25.84883725"
1,14,"-6.9509194, 8.3756308, 120.894339, 51.5190124"
1,1,"-71.66277094, -43.6846192, -64.01029055, -37.6797345333"
1,0,"-65.0957792, -40.81074875, -59.9924362, -34.8684492"
1,3,"-79.9644709, -16.3988222, -71.5368861, 0.56324"
1,2,"-65.32135005, -33.8835872, -59.9822836, -28.8864956"
1,5,"-59.3879021, -38.5544968, -54.95, -34.8648654333"
1,4,"-72.4974899667, -54.1214488667, -65.8880386, -45.1260871"
1,7,"-122.05930555, 24.132673, -109.9107093, 37.37428435"
1,6,"-106.03085915, 13.70711925, -89.19737325, 25.85627224"
1,9,"-60.4250441, -29.75262585, -46.6388182, -23.5489433"
1,8,"-71.5863505, -35.32773155, -66.4460518667, -29.2893802"
2,9_2,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,13_11,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,13_10,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,13_13,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,13_12,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_2,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_1,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_9,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_7,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_5,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_2,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_9,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_1,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_12,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_10,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_11,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_2,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_1,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_0,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_7,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_5,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_2,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_9,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,5_8,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_7,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_5,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_7,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_5,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_8,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_10,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_11,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_0,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_0,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_7,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_8,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_2,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_0,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_1,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_10,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_11,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,4_12,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,8_9,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_9,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_8,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_1,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_6,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_5,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_4,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_3,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_1,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,9_0,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,0_0,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,1_8,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,2_8,"-71.5863505, -33.0350865, -71.5863505, -33.0350865"
2,6_2,"-99.2668233, 19.2573848, -99.0149647, 19.4311147333"
2,2_9,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,5_13,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,5_12,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,5_11,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,5_10,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,2_0,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,2_1,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,13_9,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,13_8,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,6_5,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,13_1,"-99.1393479, 19.4311147333, -99.1393479, 19.4311147333"
2,13_0,"-65.3380356, -27.0346107, -65.0999985, -26.7193868"
2,13_3,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,13_2,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,13_5,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,13_4,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,13_7,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,13_6,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,6_7,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,11_9,"-65.1654205, -26.8341103, -65.1654205, -26.8341103"
2,11_8,"-58.5818753167, -34.6987436857, -58.4611357, -34.5552248"
2,11_7,"-58.4908184765, -34.6177545118, -58.4908184765, -34.6177545118"
2,11_6,"-58.62346086, -34.5398633, -58.4067576, -33.8972422"
2,11_5,"-58.8636093, -34.54749725, -58.6596774667, -34.3173037333"
2,11_4,"-58.68544775, -34.50422075, -58.68544775, -34.50422075"
2,11_3,"-60.5693359, -33.8881416, -59.3344116, -32.399216"
2,11_2,"-59.1041758, -33.0154762, -57.9916191, -30.7572746"
